,name,cuisines,price_per_person,location,delivery_rating,delivery_reviews,dining_rating,dining_reviews
48,Faasos - Wraps & Rolls,"Rolls, Wraps, Fast Food",₹150 for one,"Ganjipura, Jabalpur",4.0,"1,243",-,0
49,The Good Bowl,"North Indian, Pasta, Italian",₹150 for one,"Ganjipura, Jabalpur",4.1,239,-,0
50,Traffic Jam Food Junction,"North Indian, South Indian, Mughlai, Chinese, Fast Food, Continental, Desserts, Beverages",₹150 for one,"Cantt, Jabalpur",4.0,"5,885",4.1,158
51,Tava Veg Family Restaurant,"North Indian, Chinese, Fast Food, South Indian, Desserts, Beverages",₹150 for one,"Napier Town, Jabalpur",3.6,137,3.5,31
52,The Grill,"North Indian, Chinese, Continental, Mughlai, Kebab, Biryani, Desserts, Sichuan",₹150 for one,"Rampur, Jabalpur",4.1,"1,465",3.7,46
53,House Of Blends,"Cafe, Continental, Chinese, North Indian, Sandwich, Fast Food, Desserts, Beverages",₹200 for one,"Wright Town, Jabalpur",4.1,"1,469",3.9,99
54,Food Planet,"Fast Food, Street Food, Rajasthani, North Indian, Beverages, Desserts, Shake, Chinese",₹200 for one,"Ganjipura, Jabalpur",3.7,141,2.7,19
55,Crystal,"North Indian, Chinese, Italian, Desserts, Beverages",₹200 for one,"Rampur, Jabalpur",3.9,"6,610",4.0,218
56,Hotel Roopali Inn,"North Indian, Beverages, Fast Food",₹200 for one,"Napier Town, Jabalpur",3.6,"3,559",3.9,131
57,Desi Twist,"Fast Food, Street Food",₹200 for one,"Civil Lines, Jabalpur",4.2,15.3K,4.6,269
58,Express Thali By Rajwada,"North Indian, Rajasthani, Mithai",₹200 for one,"Wright Town, Jabalpur",3.9,"4,576",3.6,46
59,Olives Restaurant,"North Indian, Chinese, Biryani, Fast Food, Sandwich, Beverages",₹200 for one,"Napier Town, Jabalpur",3.8,"2,007",4.0,86
60,Maa Shakti Bhojanalya,North Indian,₹200 for one,"Wright Town, Jabalpur",4.0,"5,778",3.9,138
61,Hotel BK Castle,"North Indian, Chinese, Desserts, Beverages",₹200 for one,"Napier Town, Jabalpur",3.7,229,2.7,11
62,Kulcha Da Culture - By Narendra Dairy,"North Indian, Kebab",₹200 for one,"Wright Town, Jabalpur",3.9,262,-,1
63,Sweet Truth - Cake and Desserts,"Desserts, Bakery",₹200 for one,"Ganjipura, Jabalpur",3.9,197,-,0
64,Hanuman Lassi & Juice Center,"Beverages, Juices, Shake",₹200 for one,"Wright Town, Jabalpur",3.9,522,-,0
65,Bhatia Egg Shop,"Street Food, Fast Food",₹50 for one,"Khamaria, Jabalpur",3.9,247,-,0
66,Xtra Calories,"Burger, Sandwich, Chinese, Fast Food, Momos",₹50 for one,"Ghamapur, Jabalpur",4.0,204,-,0
67,Jai Bhawani Tasty Chaat Bhandar,"Street Food, South Indian, Fast Food, Chinese",₹50 for one,"Lordganj, Jabalpur",3.5,111,-,3
68,Munna Hotel Damoh Naka,North Indian,₹50 for one,"Gohalpur, Jabalpur",3.6,"9,283",4.2,185
